Day,Title,TopicsCovered,LearningObjectives,PracticalLab,LabSteps,ExampleCommandsOrChecks,RealTimeIssues,TroubleshootingTips,SuggestedResources
1,SD-WAN Basics,"What is SD-WAN; Underlay vs Overlay; Benefits over MPLS; Key concepts (ZTP, Orchestrator, Edges)","Explain SD-WAN purpose, identify core components, describe underlay vs overlay",Concept lab: Draw architecture; Watch intro videos; Create glossary,1) Sketch SD-WAN 3-plane architecture; 2) List 10 apps to prioritize,N/A,Common misperception: SD-WAN is 'just internet'.  Issue: confusion on overlay vs underlay,"Clarify overlay/underlay, map app flows to overlays, use diagrams","Intro articles, vendor docs (Cisco, VMware, Fortinet)"
2,Architecture – 3 Planes,"Management, Control, Data planes; Controllers and Orchestrators; Edge roles",Differentiate the 3 planes and name vendor equivalents,Draw detailed 3-plane diagram; Map vendor component names,1) Create a labeled diagram; 2) Map vManage/vSmart/vBond (Cisco) or equivalents,N/A,Issue: Misconfigured role separation causing admin confusion,Ensure roles are assigned correctly in design docs; verify access controls,Vendor architecture whitepapers
3,Tunnels & Encryption,"IPSec basics, DTLS/TLS, tunnel redundancy, BFD",Explain tunnel setup and encryption choices; understand BFD for fast failover,Lab: Simple IPSec tunnel walkthrough; simulate link failure,1) Configure IPSec template in lab; 2) Induce link down and observe BFD,"show crypto, show bfd status (vendor-specific commands)",Issue: Tunnel flap after ISP changes MTU or NAT,"Check MTU, NAT traversal, rekey timers, capture packets to identify fragmentation","IPSec guides, RFCs"
4,Application Recognition & DPI,"DPI, app-aware routing, SLA metrics (latency/jitter/loss)",Identify apps via DPI and create SLA thresholds for steering,Lab: Identify app flows using DPI; create policy to steer VoIP,1) Generate VoIP/Video traffic; 2) Configure SLA policy and verify path selection,"show app-id, show sla stats","Issue: App misclassification (e.g., webRTC as unknown)",Tune DPI signatures; whitelist critical services; update app signatures,Vendor DPI/docs
5,Routing Fundamentals for SD-WAN,"OSPF/BGP basics, default route handling, LAN routing",Understand overlay routing protocols and interactions with underlay,Lab: Configure OSPF on LAN side and default route to SD-WAN edge,1) Configure OSPF neighbor; 2) Inject default route into overlay,"show ip route, show ospf neighbor, show bgp summary",Issue: Route loops after redistribution,"Validate route filters, route policies, and route tags",Routing protocol docs
6,Certificates & Device Identity,"CA, certificates, ZTP, device authentication",Explain certificate workflows and secure device onboarding,Lab: Simulate device onboarding with certificate issuance (conceptual or vendor trial),1) Generate CSR/keys (lab); 2) Attach device to orchestrator via ZTP,"show certificate status, show device inventory",Issue: Device fails to authenticate due to wrong time/clock skew,"Check NTP, certificate expiry, reissue certs if necessary",PKI and vendor onboarding docs
7,Week 1 Review & Quiz,Review all Week1 topics; self-assessment quiz,Reinforce retention and identify weak areas,Quiz + practical recap; re-draw architecture from memory,1) Take quiz; 2) Recreate templates and diagrams,N/A,Issue: Knowledge gaps discovered,Revise weak topics and retake exercises,"Flashcards, vendor quizzes"
8,Vendor Selection & Comparison,"Cisco, Fortinet, VMware, Aruba; pros/cons; licensing models",Understand vendor differences and match to business needs,Lab: Read vendor datasheets; create pros/cons matrix,1) Create 2-page vendor comparison with cost considerations,N/A,Issue: Licensing surprises during rollout,Carefully review license SKUs and trial limitations with sales engineers,"Vendor guides, comparison blogs"
9,Templates & Automation Basics,"System templates, feature templates, device groups",Build repeatable templates for consistent deployments,Lab: Create system and interface templates in vendor UI or simulated environment,1) Build WAN/LAN interface templates; 2) Attach template to a test device,"show template status, show device config",Issue: Template conflicts when applied to heterogeneous devices,Use templating variables and per-device overrides; test in staging,Vendor template guides
10,Device Onboarding Workflow,"Licensing, ZTP, controller discovery, certificate exchange",Master the exact steps to bring an edge online securely,Lab: Zero Touch Provisioning demo (or simulated steps) and checklist creation,1) Prepare onboarding checklist; 2) Simulate ZTP flow,"show onboarding logs, show device inventory",Issue: ZTP blocked by firewall at branch,"Open required ports, ensure DNS resolution to orchestrator, provide fallback manual provisioning","ZTP docs, vendor KB"
11,Overlay Routing & OMP/BFD,"OMP (Cisco) or vendor equivalents, route propagation, BFD tuning",Understand overlay routing and fast failure detection,Lab: Observe OMP routes and BFD behavior; tune timers,1) Show OMP route table; 2) Adjust BFD timers and observe failover,"show omp routes, show bfd sessions",Issue: Unstable BFD causing route flaps,Tune BFD timers or adjust underlying link stability; check CPU,Vendor protocol docs
12,Policy Types: Control & Data,"Control policies, data (app) policies, enforcement order",Design and implement both control and data policies effectively,Lab: Create control policy to block a prefix and data policy to prioritize app,1) Push policies and test with traffic flows,"show policy hits, show flow statistics",Issue: Policy precedence confusion leading to unexpected behavior,Review policy order and explicit deny/allow rules; use policy simulators,Policy documentation
13,Basic Security Controls,"Edge firewall, URL filtering, IPS/IDS basics, segmentation",Apply essential security at the edge with SD-WAN features,Lab: Implement firewall rules and a guest VLAN with internet-only access,1) Configure firewall policies for corp vs guest; 2) Test access controls,"show firewall policies, show security events",Issue: Overly permissive rules exposing sensitive services,"Implement least-privilege, audit rules, and use logging to validate",Security best practices
14,Small Lab Build & Validation,Combine prior components into a small working lab,"Validate end-to-end onboarding, tunnels, policies, routing",Lab: Build 2-branch + 1-hub topology in EVE-NG/GNS3 or vendor cloud lab,"1) Deploy edges, apply templates, verify tunnels and routing","show tunnel status, show omp/bgp neighbors",Issue: Interoperability quirks between lab images,Use vendor-supported lab images and verify versions,"Lab guides, EVE-NG templates"
15,Branch Topology Design,"Branch with dual WAN, LAN switch, clients, IP planning",Design a resilient branch topology with proper addressing and VLANs,Lab: Create IP plan and VLAN mapping for a branch,1) Draw network maps and update IP plan spreadsheet,N/A,Issue: IP conflicts during migration,Perform IP audits before cutover and use NAT if needed temporarily,IP planning templates
16,Configure WAN Edge (CLI & UI),"Interface configuration, tunnel setup, control connections",Configure an edge device for production branch use,"Lab: Configure WAN interfaces, set TLOCs, verify control connections",1) Apply interface templates; 2) Validate control connection and tunnels,"show interface, show control connections, show tlocs",Issue: Edge not registering with controller,"Check device serial, license, DNS, NAT, and outbound connectivity",Vendor CLI guides
17,LAN Side Routing & Integration,"OSPF adjacency to LAN devices, redistribution, VLANs",Integrate edge into LAN and ensure correct route propagation,Lab: Configure OSPF between edge and access router; verify routes reach DC,1) Establish OSPF adjacency; 2) Verify LSDB and route installation,"show ospf neighbor, show ip route",Issue: Split-horizon or route filtering blocking routes,Review redistribution rules and interface configuration,Routing docs
18,App Policies & SLA Enforcement,Create SLA-based steering policies and thresholds for apps,Ensure critical apps use best transport and meet SLA,Lab: Build SLA profile and policy for VoIP and SaaS; validate steering,1) Configure SLA probes; 2) Simulate degradation and confirm failover,"show sla probes, show policy decisions",Issue: SLA probes not representative of real app behavior,Use realistic probe targets and multiple metrics (loss/latency/jitter),SLA tuning guides
19,Segmentation & VPNs,"Multiple VPNs, route leaking, security zones, micro-segmentation",Isolate traffic types and control inter-VPN access,Lab: Implement Corp and Guest VPNs with controlled route leaking,"1) Configure VPN tags, implement ACLs and test cross-VPN access","show vpn mappings, show route leaking status",Issue: Route leakage allows undesired access,Tighten filters and apply explicit deny rules,Segmentation best practices
20,Failover & Resilience Testing,"Test primary link down, partial degradation, controller failover",Validate behavior under link and controller failures,Lab: Induce failures and document failover times and app behavior,1) Cut primary link; 2) Measure reconvergence and app impact,"show failover stats, show bfd/omp status",Issue: Slow failover impacting VoIP,"Tune BFD and path selection, consider local remediation like QoS",High-availability tuning docs
